"CAMPUS_TRADING_NAME","coordinates","EDUCATION_SECTOR","EDUCATIONAL_FACILITY_PROVIDER_CODE","EDUCATIONAL_FACILITY_COMPANY_NAME","EDUCATIONAL_FACILITY_TRADING_NAME","LOCATION_NAME","CITY_REGIONAL_FLAG","AREA","Source","UNIVERSITY_CAMPUS_LONG","UNIVERSITY_CAMPUS_LAT","Cambodia","Canada","China","France","Hong Kong","India","Indonesia","Ireland","Italy","Japan","Korea, Republic of (South)","Macau","Malawi","Malaysia","Malta","Myanmar, The Republic of the Union of","Nepal","Netherlands","Pakistan","Papua New Guinea","Philippines","Portugal","Russian Federation","Saudi Arabia","Singapore","South Africa","Sri Lanka","Sweden","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom British - Citizen","United Kingdom British - National (Overseas)","United States of America","Venezuela, Bolivarian Republic of","Vietnam","Zambia","Zimbabwe"
"Box Hill Institute","c(-37.8154, 145.115)","VET","02411J","Box Hill Institute","Box Hill Institute","Box Hill Institute of TAFE","No","0.4","International student data 14/01/2018",145.115,-37.8154,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Harvest Bible College","c(-37.8994, 145.23)","Higher Education","01035C","Harvest Bible College Ltd","Harvest Bible College","Harvest Bible College, 1330 Ferntree Gully Road Scoresby VICTORIA","No","0.4","International student data 14/01/2018",145.23,-37.8994,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian Study Link Institute","c(-37.762, 145)","VET","03483G","RTO Connect Pty Ltd","Australian Study Link Institute","Northcote","No","0.8","International student data 14/01/2018",145,-37.762,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"The Australian Ballet School","c(-37.8218, 144.968)","All sectors","00253A","The Australian Ballet School","The Australian Ballet School,The Australian Ballet School","The Australian Ballet School","No","0.4","International student data 14/01/2018",144.968,-37.8218,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Royal Victorian Aero Club","c(-37.9757, 145.092)","All sectors","00277D","Royal Victorian Aero Club","Royal Victorian Aero Club,Royal Victorian Aero Club","Royal Victorian Aero Club","No","0.4","International student data 14/01/2018",145.092,-37.9757,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"ST AEROSPACE ACADEMY (AUSTRALIA) PTY LTD,2 Bowral Court, Mitchell Park","c(-37.5147, 143.805)","All sectors","03354E","ST AEROSPACE ACADEMY (AUSTRALIA) PTY LTD","ST AEROSPACE ACADEMY (AUSTRALIA) PTY LTD,2 Bowral Court, Mitchell Park","ST AEROSPACE ACADEMY (AUSTRALIA) PTY LTD,2 Bowral Court, Mitchell Park, 2 Bowral Court, Mitchell Park","Yes","0.8","International student data 14/01/2018",143.805,-37.5147,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"The Academy of Interactive Entertainment, Melbourne Campus","c(-37.8223, 144.954)","VET","02406F","The Academy of Interactive Entertainment Ltd","The Academy of Interactive Entertainment Ltd,World Trade Centre","World Trade Centre","No","0.4","International student data 14/01/2018",144.954,-37.8223,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Bendigo TAFE and Kangan Institute, Broadmeadows Campus","c(-37.6798, 144.918)","All sectors","01218G","Bendigo Kangan Institute","Bendigo TAFE; and Kangan Institute","Broadmeadows Campus","No","0.4","International student data 14/01/2018",144.918,-37.6798,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"La Trobe Bundoora Campus","c(-37.6986, 145.06)","Non-award","03312D","Navitas Bundoora Pty Ltd","La Trobe Melbourne","La Trobe Melbourne","No","1.1","International student data 14/01/2018",145.06,-37.6986,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"The Academy of Interactive Entertainment","c(-35.2403, 149.149)","VET","02406F","The Academy of Interactive Entertainment Ltd","The Academy of Interactive Entertainment Ltd,The Academy of Interactive Entertainment","The Academy of Interactive Entertainment","No","0.4","International student data 14/01/2018",149.149,-35.2403,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Rabbinical College of Australia and N.Z.","c(-37.8637, 145.003)","All sectors","01031G","Rabbinical College of Australia and New Zealand","Rabbinical College of Australia and New Zealand,Rabbinical College of Australia and New Zealand","Rabbinical College of Australia and New Zealand","No","1.4","International student data 14/01/2018",145.003,-37.8637,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Gordon Institute of TAFE, East Geelong Campus","c(-38.175, 144.38)","VET","00011G","Gordon Institute of TAFE","Gordon Institute of TAFE,185 St Albans Road","Gordon Institute of TAFE,185 St Albans Road, 185 St Albans Road","Yes","0.4","International student data 14/01/2018",144.38,-38.175,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Technical Institute of Victoria","c(-37.8179, 144.965)","VET","02924F","Spice Telecom Australia Pty Ltd","Technical Institute of Victoria","Technical Institute of Victoria, Mezzanine Level, 278 Flinders Lane","No","0.4","International student data 14/01/2018",144.965,-37.8179,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"AGB Training, Geelong Campus","c(-38.1645, 144.356)","VET","03356C","AGB Group Pty Ltd","AGB training","AGB training, 31 Barwon Terrace","Yes","0.4","International student data 14/01/2018",144.356,-38.1645,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Dance Factory","c(-37.8318, 144.998)","All sectors","01884F","Dance Factory Pty Ltd","Dance Factory Pty Ltd","Dance Factory Pty Ltd","No","0.4","International student data 14/01/2018",144.998,-37.8318,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
