DF_VARIABLES,DATA_TYPES,STATS_FLAG
SUBURB_TOWN_NAME,character,
LOCATION,character,
SUBURB_LONG,numeric,
SUBURB_LAT,numeric,
YEAR_ENDING_SEPTEMBER,numeric,
TOTAL_CRIMES_BY_YEAR_AND_AREA,numeric,
TOTAL_2016_OFFENCES_PER_SUBURB_TOWN_NAME,numeric,
RANK_PER_YEAR_AND_SUBURB_TOWN_NAME,numeric,
SUBURB_TOWN_NAME_2016_REAL_CRIME_RANK_PERCENTILE,numeric,
OFFENCES_PER_10000_POPULATION,numeric,
TOTAL_2016_ADJUSTED_OFFENCES_PER_SUBURB_TOWN_NAME,numeric,
SUBURB_TOWN_NAME_2016_ADJUSTED_CRIME_RANK,numeric,
SUBURB_TOWN_NAME_2016_ADJUSTED_CRIME_RANK_PERCENTILE,numeric,
TOTAL_CRIMES_BY_AREA_ALL_YEARS,numeric,
OFFENCE_COUNT,numeric,
AREA_DANGER_RANK_ALL_YEARS,numeric,
SUBURB_TOWN_NAME_2016_REAL_CRIME_RANK,numeric,
SUBURB_RESIDENTS,numeric,
SUBURB_RESIDENTS_IMPUTATION_FLAG,character,
SUBURB_MOST_COMMON_EXPENSE_TIER,character,
RENTAL_PRICE_RANGE,character,
NUMBER_OF_RENTAL_PROPERTIES,numeric,
PRICE_RANGE_RANK,numeric,
RENTAL_PRICE_RANGE_LOWER,numeric,
RENTAL_PRICE_RANGE_UPPER,numeric,
PRICE_RANK_IN_PERCENTILE,numeric,
FID,character,
DOMAIN_URL,character,
REAL_ESTATE_COM_AU_URL,character,
SUBURB_MOST_INT_STUDENT_LANG,character,
INT_STUDENT_POPULATION_ARRIVAL_ALL_YEARS,integer,
TOTAL_INT_STUDENTS_PER_SUBURB,integer,
TOTAL_INT_STUDENT_PER_LANGUAGE,integer,
TMP_INT_STUDENT_NATIVE_LANG,character,
TMP_SUBURB_STUDENT_POPULATION_SCALE_RANK,integer,
NUMBER_OF_INT_STUDENTS_BY_LANGUAGE_AND_SUBURB,numeric,
SUBURB_LARGEST_INT_STUDENT_LANG,character,
PERCENT_OF_INT_STUDENTS_LANGUAGE_IN_SUBURB,numeric,
LOTE_RANK,numeric,
Acholi,numeric,
"African Languages, nec",numeric,
"African Languages, nfd",numeric,
Afrikaans,numeric,
Akan,numeric,
Albanian,numeric,
Amharic,numeric,
Anuak,numeric,
Arabic,numeric,
Armenian,numeric,
Assyrian Neo-Aramaic,numeric,
Bengali,numeric,
Bisaya,numeric,
Bosnian,numeric,
Bulgarian,numeric,
Burmese,numeric,
"Burmese and Related Languages, nec",numeric,
"Burmese and Related Languages, nfd",numeric,
Cantonese,numeric,
Catalan,numeric,
Cebuano,numeric,
Chaldean Neo-Aramaic,numeric,
Chin Haka,numeric,
"Chinese, nfd",numeric,
"Creole, nfd",numeric,
Croatian,numeric,
Czech,numeric,
Danish,numeric,
Dari,numeric,
Dhivehi,numeric,
Dinka,numeric,
"Dravidian, nec",numeric,
Dutch,numeric,
English,numeric,
Estonian,numeric,
Fijian,numeric,
Filipino,numeric,
Finnish,numeric,
French,numeric,
"French Creole, nfd",numeric,
German,numeric,
Greek,numeric,
Gujarati,numeric,
Hakka,numeric,
Harari,numeric,
Hausa,numeric,
Hazaraghi,numeric,
Hebrew,numeric,
Hindi,numeric,
Hungarian,numeric,
Iban,numeric,
Igbo,numeric,
Ilonggo (Hiligaynon),numeric,
Inadequately described,numeric,
Indonesian,numeric,
"Iranic, nfd",numeric,
Italian,numeric,
Japanese,numeric,
Kannada,numeric,
Karen,numeric,
Khmer,numeric,
Kinyarwanda (Rwanda),numeric,
Kirundi (Rundi),numeric,
Konkani,numeric,
Korean,numeric,
Kurdish,numeric,
Lao,numeric,
Lithuanian,numeric,
Loma (Lorma),numeric,
Luganda,numeric,
Macedonian,numeric,
Malay,numeric,
Malayalam,numeric,
Maltese,numeric,
Mandarin,numeric,
Maori (Cook Island),numeric,
Maori (New Zealand),numeric,
Marathi,numeric,
Mauritian Creole,numeric,
Min Nan,numeric,
Mongolian,numeric,
Nepali,numeric,
Norwegian,numeric,
Not stated,numeric,
Nuer,numeric,
Nyanja (Chichewa),numeric,
Oriya,numeric,
Oromo,numeric,
Other Southern Asian Languages,numeric,
Pashto,numeric,
Persian (excluding Dari),numeric,
"Pidgin, nfd",numeric,
Polish,numeric,
Portuguese,numeric,
Punjabi,numeric,
Rohingya,numeric,
Romanian,numeric,
Russian,numeric,
Samoan,numeric,
Serbian,numeric,
Shilluk,numeric,
Shona,numeric,
Sindhi,numeric,
Sinhalese,numeric,
Slovak,numeric,
Slovene,numeric,
Somali,numeric,
"Southern Asian Languages, nfd",numeric,
Spanish,numeric,
Swahili,numeric,
Swedish,numeric,
Tagalog,numeric,
Tamil,numeric,
Telugu,numeric,
Tetum,numeric,
Thai,numeric,
Tibetan,numeric,
Tigrinya,numeric,
Tok Pisin (Neomelanesian),numeric,
Tongan,numeric,
Tswana,numeric,
Turkish,numeric,
Tuvaluan,numeric,
Ukrainian,numeric,
Urdu,numeric,
Vietnamese,numeric,
Wu,numeric,
Yoruba,numeric,
Zomi,numeric,
AVERAGE_PUBLIC_TRANSPORT_USERS_PER_SUBURB,numeric,
TOTAL_PUBLIC_TRANSPORT_USERS_PER_SUBURB,integer,
TOTAL_OTHER_USAGE_BY_SUBURB,integer,
AVERAGE_OTHER_USAGE_BY_SUBURB,numeric,
TOTAL_TRUCK_USAGE_BY_SUBURB,integer,
AVERAGE_TRUCK_USAGE_BY_SUBURB,integer,
TOTAL_BICYCLE_USAGE_BY_SUBURB,integer,
AVERAGE_BICYCLE_USAGE_BY_SUBURB,integer,
TOTAL_MOTORBIKE_USAGE_BY_SUBURB,integer,
AVERAGE_MOTORBIKE_USAGE_BY_SUBURB,integer,
TOTAL_WALKED_USAGE_BY_SUBURB,integer,
AVERAGE_WALKED_USAGE_BY_SUBURB,integer,
TOTAL_CAR_USAGE_BY_SUBURB,integer,
AVERAGE_CAR_USAGE_BY_SUBURB,numeric,
TOTAL_FERRY_USAGE_BY_SUBURB,integer,
AVERAGE_FERRY_USAGE_BY_SUBURB,numeric,
TOTAL_BUS_USAGE_BY_SUBURB,integer,
AVERAGE_BUS_USAGE_BY_SUBURB,numeric,
TOTAL_TRAM_USAGE_BY_SUBURB,integer,
AVERAGE_TRAM_USAGE_BY_SUBURB,numeric,
TOTAL_TRAIN_USAGE_BY_SUBURB,integer,
AVERAGE_TRAIN_USAGE_BY_SUBURB,numeric,
ONE_TRAIN,integer,
ONE_BUS,integer,
ONE_FERRY,integer,
ONE_TRAM,integer,
ONE_TAXI,integer,
ONE_DROVE_TO_WORK_CAR,integer,
ONE_DRIVEN_TO_WORK_BY_CAR,integer,
ONE_TRUCK,integer,
ONE_MOTORBIKE,integer,
ONE_BICYCLE,integer,
ONE_OTHER,integer,
ONE_WALKED,integer,
TWO_TRAIN_BUS,integer,
TWO_TRAIN_FERRY,integer,
TWO_TRAIN_TRAM,integer,
TWO_TRAIN_DROVE_CAR,integer,
TWO_TRAIN_PASSENGER_CAR,integer,
TWO_TRAIN_OTHER,integer,
TWO_BUS_FERRY,integer,
TWO_BUS_TRAM,integer,
TWO_BUS_CAR_DRIVER,integer,
TWO_BUS_CAR_PASSENGER,integer,
TWO_BUS_OTHER,integer,
TWO_BUS_BUS,integer,
TWO_OTHER_OTHER,integer,
THREE_TRAIN_OTHER_OTHER,integer,
THREE_BUS_OTHER_TRAIN,integer,
THREE_OTHER_OTHER_OTHER,integer,
ADJUSTED_TOTAL_TRAIN_USAGE,integer,
ADJUSTED_TOTAL_TRAM_USAGE,integer,
ADJUSTED_TOTAL_BUS_USAGE,integer,
ADJUSTED_TOTAL_FERRY_USAGE,integer,
ADJUSTED_TOTAL_CAR_USAGE,integer,
ADJUSTED_TOTAL_WALKED_USAGE,integer,
ADJUSTED_TOTAL_MOTORBIKE_USAGE,integer,
ADJUSTED_TOTAL_BICYCLE_USAGE,integer,
ADJUSTED_TOTAL_TRUCK_USAGE,integer,
ADJUSTED_TOTAL_OTHER_USAGE,integer,
ADJUSTED_TOTAL_TRAIN_USAGE_RANK,integer,
ADJUSTED_TOTAL_TRAIN_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_TRAM_USAGE_RANK,integer,
ADJUSTED_TOTAL_TRAM_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_FERRY_USAGE_RANK,integer,
ADJUSTED_TOTAL_FERRY_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_BUS_USAGE_RANK,integer,
ADJUSTED_TOTAL_BUS_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_CAR_USAGE_RANK,integer,
ADJUSTED_TOTAL_CAR_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_MOTORBIKE_USAGE_RANK,integer,
ADJUSTED_TOTAL_MOTORBIKE_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_BICYCLE_USAGE_RANK,integer,
ADJUSTED_TOTAL_BICYCLE_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_WALKED_USAGE_RANK,integer,
ADJUSTED_TOTAL_WALKED_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_TRUCK_USAGE_RANK,integer,
ADJUSTED_TOTAL_TRUCK_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_OTHER_USAGE_RANK,integer,
ADJUSTED_TOTAL_OTHER_USAGE_SCALE_RANK,integer,
ADJUSTED_TOTAL_TRANSPORT_USE_PER_SUBURB,numeric,
ADJUSTED_TOTAL_TRANSPORT_USE_PER_SUBURB_RANK,integer,
ADJUSTED_TOTAL_TRANSPORT_USE_PER_SUBURB_SCALE_RANK,integer,
AAPoly__AMI_Education_Distance,numeric,
AAPoly__Melbourne_Campus_Distance,numeric,
Academia_International__Melbourne_Campus_Distance,numeric,
Acumen_Institute_of_Further_Education__CBD_Campus_Distance,numeric,
Acumen_Institute_of_Further_Education__Richmond_Campus_Distance,numeric,
AGB_Training__Geelong_Campus_Distance,numeric,
ALACC_Health_College__Australia_Distance,numeric,
Alfred_Deakin_College_(MIBT)__Waurn_Ponds_Campus_Distance,numeric,
ALTEC_College__Melbourne_Campus_Distance,numeric,
Angad_Australian_Institute_of_Technology__La_Trobe_st_Campus_Distance,numeric,
Angad_Australian_Institute_of_Technology__Lonsdale_st_Campus_Distance,numeric,
AOI_Institute_Distance,numeric,
Ashton_College__Footscray_Campus_Distance,numeric,
Ashton_College__Hallam_Campus_Distance,numeric,
Ashton_College__Hospitality_Campus_Distance,numeric,
Ashton_College__Northcote_Campus_Distance,numeric,
Australian_Academy_of_Fashion_Design_Distance,numeric,
Australian_Careers_Education__Donald_Street_Campus_(Aurora_Building)_Distance,numeric,
Australian_Careers_Education__Victoria_Street_Campus_Distance,numeric,
Australian_Catholic_Univeristy__Melbourne_Campus_Distance,numeric,
Australian_Catholic_University__Ballarat_Campus_Distance,numeric,
Australian_Centre_of_Further_Education_Distance,numeric,
Australian_College_of_Applied_Psychology__ACAP_-_Melbourne_Campus_Distance,numeric,
Australian_College_of_Sport__Basketball__Melbourne_Campus_Distance,numeric,
Australian_College_of_Theology_Distance,numeric,
Australian_College_of_Trade__Thornbury_Campus_Distance,numeric,
Australian_Education_Academy__10_Blissington_Street__Springvale_Distance,numeric,
Australian_Institute_of_Technical_Training__(AITT)__Melbourne_Campus_Distance,numeric,
Australian_Institute_of_Trades__Institute_of_Hotel_Management_Australia_Distance,numeric,
Australian_Institute_of_Translation___Interpretation_(AITI)__Melbourne_Campus_Distance,numeric,
Australian_IT___Hospitality_Institute__Footscray_Campus_Distance,numeric,
Australian_National_Airline_College_Distance,numeric,
Australian_National_College__Franklin_Street_Campus_Distance,numeric,
Australian_National_Institute_of_Business___Technology_(ANIBT)__Melbourne_Campus_Distance,numeric,
Australian_Pacific_College__Melbourne_Campus_Distance,numeric,
Australian_Study_Link_Institute_Distance,numeric,
AVETA_-_Australian_Vocational_Education___Training_Academy_Distance,numeric,
Barkly_International_College__City_Campus_Distance,numeric,
Barkly_International_College__North_Melbourne_Campus___Automotive_Workshop_Distance,numeric,
Barkly_International_College_Distance,numeric,
Baxter_Institute__Automotive___Bakery_Campus_Distance,numeric,
Baxter_Institute__Fabrication_campus_Distance,numeric,
Baxter_Institute__Hairdressing_and_Beauty_Campus_(Flinders_Street)_Distance,numeric,
Beaconhills_College_Distance,numeric,
Bendigo_TAFE__Bendigo_Distance,numeric,
Bendigo_TAFE_and_Kangan_Institute__Broadmeadows_Campus_Distance,numeric,
Biba_Academy__Swantson_street_Campus_Distance,numeric,
Box_Hill_Institute__City_Campus_Distance,numeric,
Box_Hill_Institute_Distance,numeric,
Brighton_Institute_of_Technology_Distance,numeric,
Catholic_Theological_College_(CTC)__Melbourne_College_of_Divinity_-_East_Melbourne_Campus_Distance,numeric,
Central_Australian_College_(CAC)__Melbourne_Campus_Distance,numeric,
Central_Melbourne_Institute_(CMI)__City_Campus_Distance,numeric,
Central_Melbourne_Institute_Distance,numeric,
Charles_Sturt_University_Study_Centres__Melbourne_Distance,numeric,
