SUBURB_TOWN_NAME,UNIVERSITY_CAMPUS_LAT,UNIVERSITY_CAMPUS_LONG,CAMPUS_TRADING_NAME,CAMPUS_NAME
MELBOURNE,-37.816356,144.954986,AAPoly__Melbourne_Campus_Distance,"AAPoly, Melbourne Campus"
MELBOURNE,-37.813023,144.960624,Academia_International__Melbourne_Campus_Distance,"Academia International, Melbourne Campus"
MELBOURNE,-37.8164,144.9666,Acumen_Institute_of_Further_Education__CBD_Campus_Distance,"Acumen Institute of Further Education, CBD Campus"
RICHMOND,-37.81088,144.99191,Acumen_Institute_of_Further_Education__Richmond_Campus_Distance,"Acumen Institute of Further Education, Richmond Campus"
SOUTH GEELONG,-38.1645,144.356,AGB_Training__Geelong_Campus_Distance,"AGB Training, Geelong Campus"
PRESTON,-37.746478,145.005314,ALACC_Health_College__Australia_Distance,"ALACC Health College, Australia"
WAURN PONDS,-38.195617,144.304964,Alfred_Deakin_College_(MIBT)__Waurn_Ponds_Campus_Distance,"Alfred Deakin College (MIBT), Waurn Ponds Campus"
MELBOURNE,-37.848102,144.979039,ALTEC_College__Melbourne_Campus_Distance,"ALTEC College, Melbourne Campus"
MELBOURNE,-37.813758,144.95733,Angad_Australian_Institute_of_Technology__La_Trobe_st_Campus_Distance,"Angad Australian Institute of Technology, La Trobe st Campus"
MELBOURNE,-37.811894,144.969874,AOI_Institute_Distance,AOI Institute
FOOTSCRAY,-37.803653,144.89905,Ashton_College__Footscray_Campus_Distance,"Ashton College, Footscray Campus"
HALLAM,-38.018682,145.270307,Ashton_College__Hallam_Campus_Distance,"Ashton College, Hallam Campus"
FOOTSCRAY,-37.800746,144.898003,Ashton_College__Hospitality_Campus_Distance,"Ashton College, Hospitality Campus"
NORTHCOTE,-37.766705,144.986665,Ashton_College__Northcote_Campus_Distance,"Ashton College, Northcote Campus"
MELBOURNE,-37.817414,144.955623,Australian_Academy_of_Fashion_Design_Distance,Australian Academy of Fashion Design
BRUNSWICK EAST,-37.758965,144.977737,Australian_Careers_Education__Donald_Street_Campus_(Aurora_Building)_Distance,"Australian Careers Education, Donald Street Campus (Aurora Building)"
BRUNSWICK,-37.766402,144.95802,Australian_Careers_Education__Victoria_Street_Campus_Distance,"Australian Careers Education, Victoria Street Campus"
FITZROY,-37.808105,144.978268,Australian_Catholic_Univeristy__Melbourne_Campus_Distance,"Australian Catholic Univeristy, Melbourne Campus"
LAKE WENDOUREE,-37.557726,143.844259,Australian_Catholic_University__Ballarat_Campus_Distance,"Australian Catholic University, Ballarat Campus"
MELBOURNE,-37.810371,144.958136,Australian_Centre_of_Further_Education_Distance,Australian Centre of Further Education
MELBOURNE,-37.810644,144.96871,Australian_College_of_Applied_Psychology__ACAP_-_Melbourne_Campus_Distance,"Australian College of Applied Psychology, ACAP - Melbourne Campus"
MELBOURNE,-37.8251,144.972,Australian_College_of_Sport__Basketball__Melbourne_Campus_Distance,"Australian College of Sport, Basketball, Melbourne Campus"
BOX HILL NORTH,-37.859748,145.209116,Australian_College_of_Theology_Distance,Australian College of Theology
THORNBURY,-37.754796,145.001042,Australian_College_of_Trade__Thornbury_Campus_Distance,"Australian College of Trade, Thornbury Campus"
SPRINGVALE,-37.934002,145.151509,Australian_Education_Academy__10_Blissington_Street__Springvale_Distance,"Australian Education Academy ,10 Blissington Street, Springvale"
MELBOURNE,-37.819284,144.958052,Australian_Institute_of_Technical_Training__(AITT)__Melbourne_Campus_Distance,"Australian Institute of Technical Training  (AITT), Melbourne Campus"
RICHMOND,-37.8183,144.998,Australian_Institute_of_Trades__Institute_of_Hotel_Management_Australia_Distance,"Australian Institute of Trades, Institute of Hotel Management Australia"
MELBOURNE,-37.817727,144.961662,Australian_Institute_of_Translation___Interpretation_(AITI)__Melbourne_Campus_Distance,"Australian Institute of Translation & Interpretation (AITI), Melbourne Campus"
FOOTSCRAY,-37.8006,144.896,Australian_IT___Hospitality_Institute__Footscray_Campus_Distance,"Australian IT & Hospitality Institute, Footscray Campus"
MOORABBIN AIRPORT,-37.976225,145.092803,Australian_National_Airline_College_Distance,Australian National Airline College
MELBOURNE,-37.807405,144.960799,Australian_National_College__Franklin_Street_Campus_Distance,"Australian National College, Franklin Street Campus"
BRUNSWICK,-37.819741,144.958281,Australian_National_Institute_of_Business___Technology_(ANIBT)__Melbourne_Campus_Distance,"Australian National Institute of Business & Technology (ANIBT), Melbourne Campus"
MELBOURNE,-37.812264,144.960538,Australian_Pacific_College__Melbourne_Campus_Distance,"Australian Pacific College, Melbourne Campus"
THORNBURY,-37.809831,144.971403,Australian_Study_Link_Institute_Distance,Australian Study Link Institute
MELBOURNE,-37.817738,144.961648,AVETA_-_Australian_Vocational_Education___Training_Academy_Distance,AVETA - Australian Vocational Education & Training Academy
MELBOURNE,-37.812891,144.961447,Barkly_International_College__City_Campus_Distance,"Barkly International College, City Campus"
NORTH MELBOURNE,-37.794322,144.937901,Barkly_International_College__North_Melbourne_Campus___Automotive_Workshop_Distance,"Barkly International College, North Melbourne Campus & Automotive Workshop"
SOUTHBANK,-37.82435,144.960882,Baxter_Institute__Automotive___Bakery_Campus_Distance,"Baxter Institute, Automotive & Bakery Campus"
NORTH MELBOURNE,-37.800207,144.941053,Baxter_Institute__Fabrication_campus_Distance,"Baxter Institute, Fabrication campus"
MELBOURNE,-37.816076,144.97143,Baxter_Institute__Hairdressing_and_Beauty_Campus_(Flinders_Street)_Distance,"Baxter Institute, Hairdressing and Beauty Campus (Flinders Street)"
PAKENHAM,-38.06161,145.466492,Beaconhills_College_Distance,Beaconhills College
BENDIGO,-36.7563,144.284,Bendigo_TAFE__Bendigo_Distance,"Bendigo TAFE, Bendigo"
BROADMEADOWS,-37.6798,144.918,Bendigo_TAFE_and_Kangan_Institute__Broadmeadows_Campus_Distance,"Bendigo TAFE and Kangan Institute, Broadmeadows Campus"
FITZROY,-37.7989,144.983,Biba_Academy__Swantson_street_Campus_Distance,"Biba Academy, Swantson street Campus"
MELBOURNE,-37.8169,144.966,Box_Hill_Institute__City_Campus_Distance,"Box Hill Institute, City Campus"
MONT ALBERT,-37.8154,145.115,Box_Hill_Institute_Distance,Box Hill Institute
MELBOURNE,-37.814146,144.962271,Brighton_Institute_of_Technology_Distance,Brighton Institute of Technology
EAST MELBOURNE,-37.8091,144.981,Catholic_Theological_College_(CTC)__Melbourne_College_of_Divinity_-_East_Melbourne_Campus_Distance,"Catholic Theological College (CTC), Melbourne College of Divinity - East Melbourne Campus"
FOOTSCRAY,-37.8009,144.884,Central_Australian_College_(CAC)__Melbourne_Campus_Distance,"Central Australian College (CAC), Melbourne Campus"
MELBOURNE,-37.8149,144.96,Central_Melbourne_Institute_(CMI)__City_Campus_Distance,"Central Melbourne Institute (CMI), City Campus"
MALVERN,-37.8524,145.037,Central_Melbourne_Institute_Distance,Central Melbourne Institute
MELBOURNE,-37.818212,144.954332,Central_Queensland_University_City_Campus,City campus
MELBOURNE,-37.817098,144.957627,Charles_Sturt_University_Study_Centres__Melbourne_Distance,"Charles Sturt University Study Centres, Melbourne"
DANDENONG,-37.975611,145.2197441,Chisholm_Institue__Chisholm_At_331_Distance,"Chisholm Institue, Chisholm At 331"
SOUTH DUDLEY,-38.5888765,145.5787101,Chisholm_Institute__Bass_Coast_Distance,"Chisholm Institute, Bass Coast"
BANGHOLME,-38.0434277,145.1882625,Chisholm_Institute__Cranbourne_Campus_Distance,"Chisholm Institute, Cranbourne Campus"
